City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
274,Cabo San Lucas,MX,77.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
278,Sola,VU,81.23,broken clouds,-13.8833,167.55,Leumerus Bungalows
285,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
286,Kupang,ID,80.44,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
287,Kailua,US,75.18,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
288,Luanda,AO,83.21,clear sky,-8.8368,13.2343,EPIC SANA Luanda
289,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
291,Shache,CN,75.27,scattered clouds,38.4167,77.2406,Delong Hotel
294,Pangai,TO,78.19,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
296,Virginia Beach,US,81.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
297,Saint-Georges,GD,81.23,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
298,Gamba,GA,83.82,light rain,-2.65,10.0,
302,Wana,PK,76.03,clear sky,32.2989,69.5725,Rest House at Wana Camp
308,Luena,AO,75.6,overcast clouds,-11.7833,19.9167,Hotel Kandamba
309,Prieska,ZA,76.78,broken clouds,-29.6641,22.7474,Avenue GuestHouse
318,Kirakira,SB,79.84,broken clouds,-10.4544,161.9205,SanBiz Lodge
319,Korla,CN,75.51,clear sky,41.7597,86.1469,Gulisitan Hotel
325,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
326,Basco,PH,78.22,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
327,Phichit,TH,77.22,broken clouds,16.25,100.4167,Rommakham Homestay
329,San Juan De Colon,VE,85.59,scattered clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
334,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
343,Funadhoo,MV,86.05,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
352,Tuy Hoa,VN,77.7,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
356,Surat Thani,TH,78.78,moderate rain,9.1667,99.25,Suankafae Resort
360,Dhidhdhoo,MV,85.73,few clouds,6.8833,73.1,Dhidhoo beach
364,Carmen,MX,84.24,scattered clouds,18.6333,-91.8333,Hotel Lossandes
366,Kualakapuas,ID,76.42,broken clouds,-3.0091,114.3876,Guest House Izonk
367,Jacareacanga,BR,87.58,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
368,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
370,Vidalia,US,82.51,clear sky,32.2177,-82.4135,Quality Inn & Suites
372,Namibe,AO,80.98,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
378,Galle,LK,82.54,scattered clouds,6.0367,80.217,Amangalla
385,Axim,GH,85.86,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
393,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
395,Dalbandin,PK,89.04,few clouds,28.8947,64.4101,Sanjrani House
401,Alyangula,AU,80.33,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
402,Uchiza,PE,78.35,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
406,Tuburan,PH,78.89,moderate rain,6.6439,122.2736,GT Site
412,Parintins,BR,88.93,scattered clouds,-2.6283,-56.7358,Cama e Cafe
414,Bluefields,NI,84.47,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
424,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
426,Thinadhoo,MV,82.24,moderate rain,0.5333,72.9333,
429,Bull Savanna,JM,82.13,clear sky,17.8868,-77.5902,Big Red's
437,Touros,BR,86.92,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
439,Aloleng,PH,80.85,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
444,Soyo,AO,80.74,light rain,-6.1349,12.3689,Hotel Mpampa
446,Conde,BR,83.66,light rain,-7.2597,-34.9075,Pousada Beija Flor
447,Benguela,AO,82.31,clear sky,-12.5763,13.4055,Hotel Praia Morena
448,Aitape,PG,79.77,overcast clouds,-3.1374,142.3475,
451,Bandarbeyla,SO,84.92,scattered clouds,9.4942,50.8122,JABIR HOTEL
453,Tucurui,BR,86.43,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
455,Caucaia,BR,89.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
456,Kafanchan,NG,87.69,light rain,9.5833,8.3,Sir Joe guest Inn
462,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
464,Padang,ID,78.15,moderate rain,-0.9492,100.3543,Mercure Padang
465,Tual,ID,84.87,broken clouds,-5.6667,132.75,Grand Vilia Hotel
473,Terra Santa,BR,86.38,broken clouds,-2.1042,-56.4869,Hotel Sarah
474,Dabou,CI,85.75,overcast clouds,5.3256,-4.3769,Résidence N'Da
476,Petatlan,MX,76.8,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
477,Bubaque,GW,78.76,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
478,Muisne,EC,78.85,light rain,0.6,-80.0333,Quinta Samay
484,Santa Isabel Do Rio Negro,BR,85.82,broken clouds,-0.4139,-65.0192,Hotel GSA
485,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
491,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
497,Kulhudhuffushi,MV,85.78,scattered clouds,6.6221,73.07,Haajy Guest House 1
501,Itarema,BR,85.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
502,Kinshasa,CD,84.16,light rain,-4.3246,15.3215,Star Hotel II
507,Buchanan,LR,84.25,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
508,Sur,OM,86.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
511,Mahibadhoo,MV,82.4,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
514,Sahuaripa,MX,76.44,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
515,Ouidah,BJ,85.73,scattered clouds,6.3631,2.0851,Le Jardin Secret Ouidah
522,Miri,MY,79.99,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
523,Anito,PH,77.94,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
524,Isangel,VU,77.41,clear sky,-19.55,169.2667,Tanna Lodge
526,Hami,CN,76.33,scattered clouds,42.8,93.45,Laoyutang Resort
530,Phangnga,TH,78.84,moderate rain,8.4509,98.5298,Sunimit Mansion
531,Merauke,ID,78.37,overcast clouds,-8.4667,140.3333,
