City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Khatanga,RU,2022-04-27 22:33:12,71.9667,102.5,20.21,86,100,14.72
68,Tres Arroyos,AR,2022-04-27 22:33:13,-38.3739,-60.2798,53.22,51,6,12.77
69,Ambilobe,MG,2022-04-27 22:33:13,-13.2,49.05,72.14,96,15,2.59
70,Lagoa,PT,2022-04-27 22:33:14,39.05,-27.9833,62.06,93,100,31.45
71,Tlapacoyan,MX,2022-04-27 22:33:14,19.9667,-97.2167,74.41,75,69,0.63
72,Kaitangata,NZ,2022-04-27 22:33:15,-46.2817,169.8464,53.44,71,15,5.32
73,Faanui,PF,2022-04-27 22:33:15,-16.4833,-151.75,81.05,76,13,20.13
74,Itigi,TZ,2022-04-27 22:33:15,-5.7,34.4833,61.59,97,83,4.9
75,Port Elizabeth,ZA,2022-04-27 22:33:16,-33.918,25.5701,57.49,94,0,4.61
76,Fairbanks,US,2022-04-27 22:28:28,64.8378,-147.7164,53.56,32,40,0.0
77,Portsmouth,GB,2022-04-27 22:29:12,50.799,-1.0913,47.71,76,41,4.0
78,Pisco,PE,2022-04-27 22:33:17,-13.7,-76.2167,67.01,82,0,17.27
79,Vargem Grande,BR,2022-04-27 22:33:17,-3.5431,-43.9158,74.62,96,91,1.68
80,Morgan City,US,2022-04-27 22:33:17,29.6994,-91.2068,81.0,38,0,6.91
81,Mahon,ES,2022-04-27 22:33:18,39.8885,4.2658,57.76,94,0,5.75
82,Iskateley,RU,2022-04-27 22:33:18,67.6803,53.1512,9.59,87,16,10.07
83,Kapaa,US,2022-04-27 22:29:23,22.0752,-159.319,80.58,82,0,13.8
84,Rockhampton,AU,2022-04-27 22:33:19,-23.3833,150.5,71.49,78,20,6.91
85,Sorong,ID,2022-04-27 22:33:19,-0.8833,131.25,78.4,88,100,5.28
86,Hambantota,LK,2022-04-27 22:33:20,6.1241,81.1185,80.94,81,35,5.61
87,Tura,IN,2022-04-27 22:33:20,25.5198,90.2201,69.28,88,0,2.89
88,Hamilton,US,2022-04-27 22:31:42,39.1834,-84.5333,62.94,43,0,9.22
89,Broken Hill,AU,2022-04-27 22:30:03,-31.95,141.4333,58.71,94,92,8.05
90,Jutai,BR,2022-04-27 22:33:21,-5.1833,-68.9,75.34,96,100,3.18
91,San Patricio,US,2022-04-27 22:33:21,28.017,-97.5169,84.16,62,66,15.12
92,Hasaki,JP,2022-04-27 22:33:21,35.7333,140.8333,59.4,49,100,20.96
93,Umm Kaddadah,SD,2022-04-27 22:33:22,13.6017,26.6876,84.99,9,14,12.77
94,Piterka,RU,2022-04-27 22:33:22,50.6803,47.4454,60.15,82,100,6.89
95,Portobelo,PA,2022-04-27 22:33:23,9.55,-79.65,76.1,89,100,13.69
96,Shetpe,KZ,2022-04-27 22:34:23,44.1667,52.1167,68.54,37,93,8.19
97,Butaritari,KI,2022-04-27 22:29:33,3.0707,172.7902,81.19,81,33,15.93
98,Paita,PE,2022-04-27 22:34:24,-5.0892,-81.1144,70.34,77,21,17.43
99,Tottori,JP,2022-04-27 22:34:24,35.5,134.2333,50.07,81,75,4.61
100,Olafsvik,IS,2022-04-27 22:30:23,64.8945,-23.7142,43.16,73,58,2.89
101,Omboue,GA,2022-04-27 22:34:25,-1.5746,9.2618,76.53,89,99,2.3
102,Bandarbeyla,SO,2022-04-27 22:34:25,9.4942,50.8122,81.55,77,98,5.77
103,Esperance,AU,2022-04-27 22:34:25,-33.8667,121.9,53.44,78,79,16.58
104,Clyde River,CA,2022-04-27 22:34:26,70.4692,-68.5914,5.23,66,20,6.91
105,Saint George,US,2022-04-27 22:34:26,37.1041,-113.5841,86.79,10,0,18.41
106,Port Alfred,ZA,2022-04-27 22:34:27,-33.5906,26.891,56.17,92,0,8.61
107,Evinayong,GQ,2022-04-27 22:34:27,1.4368,10.5512,66.47,99,65,2.06
108,Cabo San Lucas,MX,2022-04-27 22:34:27,22.8909,-109.9124,92.5,16,0,13.8
109,Dikson,RU,2022-04-27 22:34:29,73.5069,80.5464,21.43,85,100,21.61
